station_name,appearance,min_travel_dt,max_travel_dt,short_name,lon,lat
4th & Florida Ave NE,55572,2021-10-13 12:23:12,2023-02-28 22:39:31,31532,-77.00069814920425,38.90731645057457
4th & G St SW,18929,2022-06-04 09:29:16,2023-02-28 23:34:00,31666,-77.01769933104515,38.881116725009335
4th & M St SE,75786,2018-11-14 13:23:57,2023-02-28 22:15:45,31652,-77.000736,38.876751
4th & M St SW,486839,2010-09-20 11:43:56,2023-02-28 22:21:06,31108,-77.01777443289757,38.876822693625876
4th & O St SW,416,2023-02-10 12:29:27,2023-02-28 17:47:28,31678,-77.017585,38.872964
4th & W St NE,107520,2010-09-20 12:21:52,2023-02-28 23:17:55,31500,-77.000648,38.919077
4th St & G St SW,32610,2020-11-12 19:58:54,2022-06-06 13:23:21,,-77.017,38.881
4th St & K St NW,62658,2019-08-01 01:45:53,2022-03-23 09:09:53,,-77.016,38.902
4th St & Madison Dr NW,421347,2016-06-14 08:10:44,2023-02-28 20:27:47,31288,-77.0172465,38.8904955
4th St & Mississippi Ave SE,4374,2017-09-21 01:10:32,2023-02-26 08:19:24,31816,-77.0009,38.836
53rd & D St SE/C.W. Harris Elementary,626,2021-01-17 11:01:41,2023-02-23 21:49:55,31671,-76.925315,38.883318
5th & F St NW,330305,2010-10-09 09:18:43,2023-02-28 22:08:07,31620,-77.019347,38.897222
5th & K St NW,601140,2010-09-20 12:05:37,2023-02-28 23:01:45,31600,-77.019027,38.90304
5th & Kennedy St NW,33726,2013-04-12 16:44:15,2023-02-28 19:45:19,31403,-77.0198142528534,38.956555547721955
5th & Morse St NE,4644,2022-09-20 12:27:07,2023-02-28 21:27:24,31536,-76.99916660785675,38.907286773254675
5th St & Massachusetts Ave NW,404986,2013-05-06 09:02:10,2023-02-28 22:43:13,31265,-77.018677,38.90093
6035 Warehouse,1099,2020-04-05 18:41:56,2023-02-25 15:38:15,,-77.01,38.963
61st St & Banks Pl NE,2157,2016-10-09 12:22:10,2023-02-23 16:12:30,31714,-76.913563,38.891805
6th & H St NE,368193,2011-12-12 09:20:42,2023-03-04 03:11:39,31615,-76.998347,38.899972
6th & K St NE,81364,2016-12-21 17:28:00,2023-02-28 23:56:18,31645,-76.99840486049652,38.90293157359119
6th & S Ball St,9030,2014-09-17 19:43:29,2018-12-03 18:57:24,,-77.053,38.864
6th St & Indiana Ave NW,271711,2013-04-03 10:31:35,2023-02-28 23:03:41,31264,-77.01994,38.894573
7th & E St SW,67516,2017-03-24 12:31:06,2023-02-28 17:22:22,31294,-77.021741,38.88345
7th & F St NW / National Portrait Gallery,519484,2011-04-29 14:10:17,2023-02-28 22:55:13,31232,-77.02219069004059,38.89728304853854
7th & K St NW,106279,2018-10-17 12:19:31,2023-02-28 23:55:25,31653,-77.021392,38.902674
7th & Monroe St NE,3558,2022-08-16 16:08:10,2023-02-28 23:07:00,31534,-76.9961330294609,38.932242581555066
7th & R St NW / Shaw Library,351606,2011-11-29 17:35:30,2023-02-28 23:04:14,31245,-77.022155,38.912719
7th & S St NW,55005,2019-08-01 11:54:03,2023-03-01 00:02:23,31130,-77.02159523963928,38.914173639930105
7th & T St NW,407152,2010-09-20 12:14:27,2023-01-19 09:41:09,,-77.022,38.915
7th St & Florida Ave NW,1698,2023-01-19 16:46:34,2023-02-28 23:02:18,31109,-77.02200293540955,38.91613684808331
